IncidentName,CalendarYear,POOJurisdictionalUnit,Fire Type Protection Type,Fire Type,Fire Cause,Size Class,IncidentSize,FireDiscoveryDateTime
FAN CREEK,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,,282,7/14/1974
GNEISS CK,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1974
GRANT VIL,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1974
GRANTS PAS,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1974
INCINERATR,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/14/1974
KNOWLES FL,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/28/1974
LAKE BUTTE,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/26/1974
LONESTAR 2,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,1,9/21/1974
MADISON R,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/8/1974
MEADOW,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1974
PITCHSTONE,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/28/1974
RICHARDS C,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/30/1974
SCHOOL,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,4/16/1974
SEDGE CREE,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/1/1974
SENTINEL,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/24/1974
SHOSHONE C,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/27/1974
SNAKE RIVE,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,B,1,7/22/1974
SPECIMEN,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/1/1974
TURBID LK,1974,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,7/10/1974
TRAIL CREEK,1974,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,890,9/17/1974
WILLOW CREEK,1974,WYYNP,Naturally Ignited Wildland Fires,49,Natural,,75,7/26/1974
CHICKEN RI,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/22/1975
COLUMBINE,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/9/1975
CRAGS,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/13/1975
E WHITE LK,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1975
ELEPHANT,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/4/1975
ENTRANCE,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/6/1975
FAWN,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,B,1,9/7/1975
FOREST LK,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/6/1975
FRANK ISL,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/12/1975
GARNET HIL,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,9/16/1975
GRIZZLY LK,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/13/1975
HEART LK 2,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/6/1975
LEHARDY,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,10/4/1975
LEWIS RVR,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/6/1975
MT HOLMES,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Natural,A,0.1,8/7/1975
PLOVER PT,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/8/1975
SHALLOW CR,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1975
SHEEPEATER,1975,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,B,2,9/10/1975
TERN LAKE,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1975
W WHITE LK,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1975
WAPITI LK,1975,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,7/28/1975
ARROW,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,C,31,6/29/1976
BRIDGE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,7/1/1976
BRIMSTONE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,8/22/1976
BROAD,1976,WYYNP,Naturally Ignited Wildland Fires,49,Natural,A,0.1,8/30/1976
CASCADE,1976,WYYNP,Suppressed: Origin on NPS land; protected NPS,11,Human,A,0.1,9/10/1976
